companyid,fyear,revt,roa,eps,pe_ratio,pb_ratio,gross_margin,cogs,asset_turnover,epspx,re,chech,che,ni,roe,invested_capital_2,revt-1,roa-1,revt-2,roa-2,revenue_growth,growth_revt,growth_roa,label_revt,label_roa
2,2020.0,1651.4,0.02325128271741248,0.12536684047069552,160.88783863636363,0.7842970197208066,0.17259369166706556,1728.7,1.004954304954305,0.71,661.4,383.6,424.7,4.4,0.004874806115665854,1462.7,2089.3,0.0021164021164021165,2051.8,0.004943316635908252,0.01827663514962472,-0.20959172928732114,9.986231083977396,0,0
288,2020.0,17337.0,-0.14328796284350406,3.937384838499497,7.284022562277579,-104.07510203389829,0.3002316028666317,32027.0,0.7628635719643304,3.8,-4067.0,4.0,3984.0,1686.0,-14.288135593220339,53949.0,45768.0,0.028102341861821818,44541.0,0.02330802244965335,0.02754765272445612,-0.6211982170949135,-6.098790824908675,0,0
153,2020.0,316.011,0.019581983907048177,0.5039417138628796,15.200170554018186,1.3944337545397558,0.33992260193231916,225.66,0.8366080408773557,0.51,-60.849,-7.48,36.958,17.707,0.09173803343746924,322.91700000000003,341.869,0.04333185688031187,337.339,-0.01813888563408409,0.013428628175218489,-0.07563715926275855,-0.5480926663000821,0,0
42430,2020.0,3586.982,0.0274998712564536,4.787790387420399,18.783194902660128,1.8619084646988722,0.3638181970604477,2208.32,0.18784363886688674,4.79,2780.514,4.517,10.283,538.32,0.0991262921109967,18122.516,3471.209,0.02913105712586666,3691.247,0.028931224858049064,-0.05961074942966429,0.033352356484441056,-0.05599473655779771,1,1
44,2020.0,34608.0,0.061958978882946464,2.0919113329168804,41.52183633848657,4.924440638831703,0.6254701604814443,11949.0,0.4699574292574425,2.07,17382.0,16.0,4140.0,3687.0,0.11859881626351004,60495.0,31904.0,0.054310840072473374,30578.0,0.03525225909219478,0.043364510432336974,0.08475426278836509,0.1408215892125269,1,1
72,2020.0,1022.422,0.003359364185463913,1.937440982058546,19.649630802973068,1.0634625200308623,0.019124393304723278,1776.608,5.474658598364174,1.94,138.44,5.189,122.255,8.207,0.054121246892331235,60.730999999999995,1811.247,0.024806403056443865,1750.213,0.010560476207551905,0.03487232696820336,-0.4355148690377403,-0.864576731345528,0,0
105,2020.0,9763.0,0.2778397679089489,0.2914529914529915,157.34956011730205,18.979908029713478,0.44718466795424155,3721.0,1.1166224286662243,0.31,-7095.0,387.0,1507.0,341.0,0.12062256809338522,3320.0,6731.0,0.05656934306569343,6475.0,0.07396839332748024,0.03953667953667954,0.45045312732134896,3.9114900907775474,1,1
42976,2020.0,3566.0,-0.09426171151929374,6.252032520325203,10.836475942782835,1.9240937427845763,0.273545154310443,6379.0,0.6758254444700993,6.24,4668.0,118.0,1521.0,769.0,0.17755714615562226,11326.0,8781.0,0.05918571538520742,8264.0,0.04004765395894428,0.06256050338818973,-0.5938959116273773,-2.5926429359820333,0,0
185,2020.0,2383.3,0.06657243328966421,1.9277389277389279,21.164691656590083,2.17242149683505,0.1917752258181653,1780.6,0.7742672383496169,1.93,467.3,3.9,28.4,82.7,0.10264366389474991,2581.3,2203.1,0.02906445490967878,2222.8,0.044848584595128374,-0.008862695699118352,0.08179383595842235,1.2905102984572012,1,1
186,2020.0,209.979,0.02986814686305762,11.763266105345604,28.08318684977112,6.654822988777785,0.4650364479787939,121.089,0.17886055514333735,11.74,216.345,24.482,313.977,60.075,0.23696822673214604,919.7779999999999,226.35,0.0474709425678639,232.825,0.022173059772882087,-0.027810587351014687,-0.07232604373757447,-0.37081201157195326,0,0
192,2020.0,92.507,0.05581489702479377,5.059917079042396,6.7234303385932925,1.309128217268905,0.47607790529320826,64.05,0.2928953395881051,5.06,198.049,-8.422,18.63,37.833,0.1947113528869858,394.59499999999997,122.251,0.09064228008471734,81.281,0.03082031637468058,0.5040538379203011,-0.24330271327023908,-0.3842288943677577,0,0
50556,2020.0,8943.519,0.00351761208642027,59.71465367211974,13.389845721793284,1.3086671021361704,0.14714688563212056,7697.61,0.33513473612637407,59.44,6606.513,140.335,2692.774,857.801,0.09773578645541725,24050.430999999997,9025.716,0.03185109212210309,6873.46,0.0015600379658294908,0.313125558306879,-0.00910697832725959,-0.8895607072769972,1,1
44175,2020.0,32637.0,0.07399436410367571,8.638728730136409,20.489125834282923,6.805704552827944,0.3741316843280939,22975.0,0.6255900748138176,8.52,34496.0,-220.0,10416.0,6143.0,0.3321617821996323,42533.0,36709.0,0.1046882189539699,41802.0,0.1170962214183096,-0.12183627577627865,-0.11092647579612629,-0.29319301786755864,0,0
247,2020.0,3355.7,0.1595550942878963,5.018224573780129,15.792437910028116,3.270122261844116,0.5993248045486852,1353.0,0.6977436151748079,4.92,4304.7,118.0,1054.6,853.6,0.20706886932052496,3594.5000000000005,3376.8,0.17637821307546078,3868.0,0.19018824162852824,-0.12699069286452944,-0.006248519308220908,-0.09538093449425618,1,1
282,2020.0,4667.0,-0.1643377078794963,-1.3379023134560837,-49.936381250000004,2.3332619732020152,0.5217859892224789,3106.0,0.29818198512533284,-1.37,2836.0,-1149.0,1545.0,-408.0,-0.0467246907924874,19826.0,6495.0,-0.01873106234505555,6323.0,-0.01315728082862875,0.027202277399968368,-0.28144726712856044,7.773539100566638,0,0
82116,2020.0,4541.985,0.04169208481309148,22.54426764585883,12.887976871289997,1.3497944426543338,0.29567027606846974,2802.435,0.296090258508245,22.55,4434.054,-179.349,630.767,442.048,0.10473284179002634,12252.904,3978.868,0.03289531258464786,3768.707,0.03118617141197404,0.05576474902400215,0.14152693680715211,0.26741719525562574,1,1
129270,2020.0,2217.541,0.02590785751496868,8.891474749435776,14.683728366690229,3.255682433368775,0.25540607959838324,1528.282,0.14994333577503677,8.65,1652.079,-5.262,464.359,366.391,0.2217204208676477,12855.495,2052.504,0.02676627608908509,1899.843,0.025731859060799132,0.0803545345589082,0.08040763866964462,-0.032070900384475146,1,1
345,2020.0,38185.0,0.016382134850836352,8.344444444444445,14.918908122503327,4.370720818343375,0.22905146746065505,36250.0,0.23709037368710323,8.0,11134.0,-3362.0,30539.0,6759.0,0.292965194399896,82576.0,47020.0,0.03408111092622566,43281.0,0.036696323474830594,0.08638894665095538,-0.18789876648234793,-0.5193192238862677,0,0
346,2020.0,22715.0,0.028942490580667047,4.545998654362384,11.63660705205811,1.327647698470251,0.21346506325718628,17594.0,0.14642464390448262,4.45,40906.0,559.0,6401.0,3304.0,0.11409233744259124,139832.0,22369.0,0.021627565982404694,21768.0,0.020796832044214633,0.02760933480338111,0.015467834950154231,0.3382222763399949,1,1
372,2020.0,43358.0,-0.010135025687106659,3.848280285379638,13.338425528673836,0.6850291251725724,0.23571283715270736,37687.0,0.09391236115978242,3.74,28066.0,-71.0,26770.0,3348.0,0.05135757017947538,,49310.0,0.006376365547818933,47560.0,-1.2195518553448893e-05,0.036795626576955426,-0.12070573920097344,-2.589467481294794,0,0
10915,2020.0,3792.399,0.015864936032753022,23.07297206828579,5.100339897769532,0.5282462019693981,0.18366357152561957,3322.606,0.14232480484527948,23.08,6046.375,183.837,2114.06,620.363,0.10357078401782781,24993.527,4070.143,0.02169286015460197,3326.382,0.005907881782020324,0.2235945841457776,-0.06823937144223191,-0.26865632656616745,0,0
39382,2020.0,17.837,-0.16168419123542482,0.11328863675434073,21.537905918057664,0.5452110782468405,0.6921135646687696,6.344,0.3831136232638566,0.11,8.555,-0.013,1.779,0.659,0.025314024507356047,51.447,20.605,0.012252942379562315,19.714,0.01779068554137247,0.045196307192857964,-0.13433632613443341,-14.195539995773677,0,0
35248,2020.0,111.408,0.0456600642368069,0.20915803189179127,78.79209730050431,4.448228299643282,0.6146917707377063,44.49,0.6740847553606977,0.21,-9.013,18.526,93.975,6.742,0.05645525949992464,75.67500000000001,115.466,0.03935946010636745,108.706,0.0421734548385097,0.062186079885194846,-0.03514454471446134,0.16007852021883198,0,0
17841,2020.0,458.704,0.022405051940854896,0.4507672422364366,43.19302330710976,1.7069826183474932,0.4186306297069967,272.189,0.6986828792206513,0.47,268.42,0.413,6.581,13.601,0.039519868896663146,598.636,468.186,0.0202970311805139,454.272,0.04076066355900652,0.030629226542688053,-0.020252634636661437,0.10385857624167202,1,1
465,2020.0,4540.029,0.08423272333635498,3.759759563127775,26.52829212222961,4.466576904039728,0.39191231191203274,3136.855,0.5240008211642594,3.78,5854.473,39.055,393.03,861.297,0.168370315113385,9074.31,5158.557,0.08748964783491064,4845.872,0.08980687319562683,0.06452605434068409,-0.11990329853871913,-0.037226398541474824,0,0
35964,2020.0,25424.0,0.11539683548325602,13.26006087250592,18.18015786789084,14.738839863537681,0.9006506292269497,2321.0,0.3912774046594202,12.96,-21858.0,-908.0,8911.0,7842.0,0.81071022433578,49425.0,23362.0,0.13134138375734838,23747.0,0.12638520838352205,-0.016212574219901462,0.08826299118226179,-0.12139774850819086,1,1
484,2020.0,5603.056,0.05686261933298594,3.700797171886115,28.812711166674372,3.3539509537296697,0.7337526800326819,1595.105,0.28005261248482594,3.68,6711.454,-168.269,648.322,1363.011,0.11640525372041169,20519.049,5991.065,0.06371401268314651,6200.942,0.07312704944146341,-0.03384598662590303,-0.06476461196798901,-0.10753354029407862,0,0
94459,2020.0,8208.436,0.0018047241639457309,0.5490507752751701,46.0431004533785,0.8657584042891919,0.08127814882173501,7506.133,2.0945228098968887,0.56,635.456,32.302,54.895,18.307,0.018803216893828124,2972.765,8170.191,0.004693210854040296,3045.382,0.017342787613560683,1.6828131905948085,0.00468104111641942,-0.6154606685970484,1,1
48318,2020.0,2134.043,-0.1463889415833186,-1.93420161916136,-1.4889864487078257,0.5278311482974877,0.3660571147305482,1929.331,0.4501607683749126,-2.11,-116.563,-9.042,452.496,-702.885,-0.354490229750278,6013.003000000001,3043.383,-0.10396695114587957,3057.619,-0.08160842501550812,-0.004655910366857457,-0.2987924950622382,0.4080334180225723,0,0
525,2020.0,4212.0,-0.38129609289188765,-9.447885061811451,-2.7085426878694063,2.956513723502304,0.24203821656050956,4760.0,0.3468271939029105,-9.43,-5585.0,-467.0,247.0,-3553.0,-1.0915514592933948,17165.0,6280.0,-0.19622245540398742,7331.0,0.001853396348809193,-0.14336379757195472,-0.3292993630573248,0.9431827621709568,0,0
529,2020.0,1230.774,0.015206398587723956,2.3414136066255717,12.893920114998226,1.544791322386015,0.25590962918009363,1032.38,1.228919451085084,2.34,353.948,-14.289,15.761,61.914,0.11980773175328671,1044.174,1387.439,0.05484011830032303,1402.637,0.042777915084518545,-0.010835305214392509,-0.1129166759763854,-0.7227139718326541,0,0
12161,2020.0,274515.0,0.1772557180259843,12.435981343327251,18.0098372469958,10.997608157103704,0.4216101532051627,150482.0,0.7685722388306608,11.97,45314.0,24311.0,100580.0,55256.0,0.6106445053487756,191700.0,260174.0,0.16323009842961633,265359.0,0.16277530931710985,-0.0195395671524237,0.055120803769784836,0.0859254496033752,1,1
540,2020.0,17202.0,0.1619022055205118,2.9541484716157207,18.36739098300074,6.0509082055028,0.46200711938663747,7859.0,0.7678721614802355,2.89,24206.0,-311.0,3618.0,2706.0,0.3294375456537619,14448.0,14608.0,0.14224137931034483,17253.0,0.18640634670567716,-0.15330667130354142,0.1775739320920044,0.138221566083598,1,1
549,2020.0,64355.0,0.03564029847744323,2.4757630161579893,18.72150108774474,1.3440727821740943,0.07948218262806236,59517.0,1.4695547423687978,2.45,16553.0,-853.0,5310.0,1379.0,0.07179300291545189,29635.0,64656.0,0.03134304611678069,64341.0,0.04432689246442828,0.0048957896209260035,-0.004655407077456075,0.13710385214798398,1,1
