permno,mergent_id,PERMCO,GVKEY,companyid,Company Name,Ticker Symbol,CUSIP,Primary Link Marker,Security-level Identifier,Link Type Codd,Historical CRSP PERMCO Link to COMPUSTAT Record,First Effective Date of Link,Last Effective Date of Link
10517,21314,5674,001076,398,PROG HOLDINGS INC,PRG,74319R101,J,01,LC,5674,1993-01-01T00:00:00Z,2010-11-30T00:00:00Z
10517,21314,5674,001076,398,PROG HOLDINGS INC,PRG,74319R101,P,01,LC,5674,2010-12-01T00:00:00Z,NA
10530,47870,8441,012433,20311,MERIDIAN BIOSCIENCE INC,VIVO,589584101,P,01,LU,8441,1986-07-29T00:00:00Z,2023-02-28T00:00:00Z
10547,47985,8458,012482,643107,CLEARFIELD INC,CLFD,18482P103,P,01,LC,8458,1986-08-06T00:00:00Z,NA
10550,48176,8461,012458,25157,PRO-DEX INC/CO,PDEX,74265M205,P,01,LU,8461,1986-08-07T00:00:00Z,NA
10606,48086,8508,012445,33148,WATTS WATER TECHNOLOGIES INC,WTS,942749102,P,01,LU,8508,1986-08-21T00:00:00Z,NA
10629,2918,8534,018049,12170,F N B CORP/FL,FNB,302520101,P,01,LC,8534,1986-09-02T00:00:00Z,NA
10645,48149,8549,012597,18380,LAKELAND INDUSTRIES INC,LAKE,511795106,P,01,LU,8549,1986-09-09T00:00:00Z,NA
10649,48193,8551,012598,23684,PAMT CORP,PAMT,693149106,P,01,LU,8551,1986-09-10T00:00:00Z,NA
10656,55,37,001094,631,ACETO CORP,ACETQ,004446100,P,01,LC,37,1972-12-14T00:00:00Z,2019-10-02T00:00:00Z
10661,40248,8565,012575,8472,CYANOTECH CORP,CYAN,232437301,C,02,LU,8565,1986-09-15T00:00:00Z,NA
10667,47874,8570,012559,15697,FUEL SYSTEMS SOLUTIONS INC,FSYS,35952W103,P,01,LU,8570,1986-09-16T00:00:00Z,2016-06-30T00:00:00Z
10693,48820,8596,012589,14523,ENCOMPASS HEALTH CORP,EHC,29261A100,P,01,LC,8596,1986-09-24T00:00:00Z,NA
10696,47969,8598,012635,11985,FISERV INC,FI,337738108,P,01,LC,8598,1986-09-25T00:00:00Z,NA
10812,49247,8702,012840,14538,HEARTLAND EXPRESS INC,HTLD,422347104,P,01,LU,8702,1986-11-05T00:00:00Z,NA
10860,48515,8743,012915,23317,ORASURE TECHNOLOGIES INC,OSUR,68554V108,P,01,LU,8743,1986-11-17T00:00:00Z,NA
10866,1174,20342,002436,5207,CALERES INC,CAL,129500104,P,01,LU,20342,1962-01-31T00:00:00Z,NA
10866,1174,20342,002436,5207,CALERES INC,CAL,129500104,C,00X,LU,20342,1949-11-01T00:00:00Z,1962-01-30T00:00:00Z
10874,1181,20344,002444,5227,BRUNSWICK CORP,BC,117043109,P,01,LU,20344,1962-01-31T00:00:00Z,NA
10874,1181,20344,002444,5227,BRUNSWICK CORP,BC,117043109,C,00X,LU,20344,1950-01-01T00:00:00Z,1962-01-30T00:00:00Z
10886,2505,8762,004001,9412,DIXIE GROUP INC,DXYN,255519100,C,01,LU,8762,1986-11-25T00:00:00Z,NA
10890,1236,21814,002504,31815,UNISYS CORP,UIS,909214306,P,01,LU,21814,1962-01-31T00:00:00Z,NA
10890,1236,21814,002504,31815,UNISYS CORP,UIS,909214306,C,00X,LU,21814,1950-01-01T00:00:00Z,1962-01-30T00:00:00Z
10909,49493,8786,012850,6375,CERNER CORP,CERN,156782104,P,01,LU,8786,1987-01-30T00:00:00Z,2022-06-30T00:00:00Z
10932,49640,8810,017150,33221,WEBSTER FINANCIAL CORP,WBS,947890109,P,01,LC,8810,1986-12-12T00:00:00Z,NA
10933,49614,8811,012909,19677,MARKEL GROUP INC,MKL,570535104,P,01,LU,8811,1986-12-12T00:00:00Z,NA
10952,49844,8826,013189,465870,CEDAR REALTY TRUST INC,CDR,150602605,P,01,LU,8826,1986-12-17T00:00:00Z,2022-08-31T00:00:00Z
11003,129726,47199,163921,1655179,WILLIAMS PARTNERS LP,WPZ,96949L105,P,01,LC,53459,2015-02-03T00:00:00Z,2018-08-31T00:00:00Z
11003,129726,53459,163921,1655179,WILLIAMS PARTNERS LP,WPZ,96949L105,P,01,LC,53459,2015-02-03T00:00:00Z,2018-08-31T00:00:00Z
11018,49872,8889,016821,30,FIRST BANCORP P R,FBP,318672706,P,01,LC,8889,1987-01-13T00:00:00Z,NA
11144,17841,9002,001585,1960,AMERICAN VANGUARD CORP,AVD,030371108,P,01,LU,9002,1987-03-02T00:00:00Z,NA
11154,50439,9010,013200,24404,PHOTRONICS INC,PLAB,719405102,P,01,LU,9010,1987-03-10T00:00:00Z,NA
11203,48668,8727,015364,2542,ARGO GROUP INTL HOLDINGS LTD,ARGO,G0464B107,P,01,LC,9053,2007-08-07T00:00:00Z,2023-11-30T00:00:00Z
11208,91770,9058,016981,23377,OFG BANCORP,OFG,67103X102,C,01,LU,9058,1990-01-31T00:00:00Z,NA
11267,1503,9117,002818,6059,CATO CORP  -CL A,CATO,149205106,C,01,LU,9117,1987-04-22T00:00:00Z,NA
11285,50766,9141,016777,28,FIRST BANCORP/NC,FBNC,318910106,P,01,LU,9141,1987-04-30T00:00:00Z,NA
11292,51607,9146,013235,15675,IMMUCELL CORP,ICCC,452525306,P,02,LU,9146,1987-05-01T00:00:00Z,NA
11308,1832,20468,003144,7204,COCA-COLA CO,KO,191216100,C,00X,LU,20468,1950-01-01T00:00:00Z,1962-01-30T00:00:00Z
11308,1832,20468,003144,7204,COCA-COLA CO,KO,191216100,P,01,LU,20468,1962-01-31T00:00:00Z,NA
11343,51727,9188,013323,26990,SANDERSON FARMS INC,SAFM,800013104,P,01,LU,9188,1987-05-19T00:00:00Z,2022-07-29T00:00:00Z
11348,17040,9193,016748,6336,CENTURY BANCORP INC/MA,CNBKA,156432106,P,01,LU,9193,1987-05-20T00:00:00Z,2021-11-30T00:00:00Z
11369,6452,9213,017248,32080,UNITED BANKSHARES INC/WV,UBSI,909907107,P,01,LU,9213,1987-05-29T00:00:00Z,NA
11370,129722,53461,184576,1655175,ENVESTNET INC,ENV,29404K106,P,01,LC,53461,2010-07-29T00:00:00Z,2024-11-29T00:00:00Z
11378,51858,9221,013406,5531,CALGON CARBON CORP,CCC.1,129603106,P,01,LC,9221,1987-06-02T00:00:00Z,2018-03-08T00:00:00Z
11379,51834,9222,013381,6028,DESTINATION XL GROUP INC,DXLG,25065K104,P,01,LC,9222,2021-09-08T00:00:00Z,NA
11379,51834,9222,013381,6028,DESTINATION XL GROUP INC,DXLG,25065K104,P,01,LC,9222,1987-06-02T00:00:00Z,2020-12-21T00:00:00Z
11379,51834,9222,013381,3446680,DESTINATION XL GROUP INC,DXLG,25065K104,P,01,LC,9222,2021-09-08T00:00:00Z,NA
11379,51834,9222,013381,3446680,DESTINATION XL GROUP INC,DXLG,25065K104,P,01,LC,9222,1987-06-02T00:00:00Z,2020-12-21T00:00:00Z
11397,25974,9239,019873,33106,WASHINGTON TR BANCORP INC,WASH,940610108,P,01,LU,9239,1987-06-08T00:00:00Z,NA
11403,52606,9245,013421,5480,CADENCE DESIGN SYSTEMS INC,CDNS,127387108,P,01,LU,9245,1987-06-10T00:00:00Z,NA
11404,2054,20499,003413,7705,CONSOLIDATED EDISON INC,ED,209115104,C,00X,LU,20499,1951-01-01T00:00:00Z,1962-01-30T00:00:00Z
11404,2054,20499,003413,7705,CONSOLIDATED EDISON INC,ED,209115104,P,01,LU,20499,1962-01-31T00:00:00Z,NA
11442,46642,9280,016781,6972,CITY HOLDING CO,CHCO,177835105,P,01,LU,9280,1987-06-23T00:00:00Z,NA
11481,56408,9312,013480,9992,EBIX INC,EBIXQ,278715206,P,01,LC,9312,1987-07-01T00:00:00Z,2023-12-27T00:00:00Z
11499,153,176,001050,6149,CECO ENVIRONMENTAL CORP,CECO,125141101,P,01,LC,176,1980-11-28T00:00:00Z,NA
11511,52338,9340,013582,6363,CPS TECHNOLOGIES CORP,CPSH,12619F104,C,01,LC,9340,2015-01-15T00:00:00Z,NA
11511,52338,9340,013582,6363,CPS TECHNOLOGIES CORP,CPSH,12619F104,C,01,LC,9340,1987-07-15T00:00:00Z,1993-06-18T00:00:00Z
11511,52338,9340,013582,2208252,CPS TECHNOLOGIES CORP,CPSH,12619F104,C,01,LC,9340,2015-01-15T00:00:00Z,NA
11511,52338,9340,013582,2208252,CPS TECHNOLOGIES CORP,CPSH,12619F104,C,01,LC,9340,1987-07-15T00:00:00Z,1993-06-18T00:00:00Z
11533,52546,9360,013824,11499,FAIR ISAAC CORP,FICO,303250104,P,01,LU,9360,1987-07-22T00:00:00Z,NA
11547,52520,9370,013623,7675,CONMED CORP,CNMD,207410101,P,01,LU,9370,1987-07-23T00:00:00Z,NA
11552,52475,9374,013599,6177,CELGENE CORP,CELG,151020104,P,01,LU,9374,1987-09-30T00:00:00Z,2019-11-29T00:00:00Z
11581,9596,323,001706,729,ENERPAC TOOL GROUP CORP,EPAC,292765104,P,01,LC,323,1987-08-05T00:00:00Z,NA
11600,76920,9424,013700,9023,DENTSPLY SIRONA INC,XRAY,24906P109,P,01,LC,9424,1987-08-12T00:00:00Z,NA
11618,52750,9440,014225,11608,FASTENAL CO,FAST,311900104,P,01,LU,9440,1987-08-20T00:00:00Z,NA
11628,36184,9449,016705,8083,CENTRAL PACIFIC FINANCIAL CP,CPF,154760409,C,01,LC,9449,1987-08-24T00:00:00Z,NA
11628,36184,9449,016705,500385,CENTRAL PACIFIC FINANCIAL CP,CPF,154760409,C,01,LC,9449,1987-08-24T00:00:00Z,NA
11638,52790,9459,013782,21293,MULTI-COLOR CORP,LABL,625383104,P,01,LU,9459,1987-08-27T00:00:00Z,2019-07-31T00:00:00Z
11641,71061,9462,013789,1169,AIR METHODS CORP,AIRM,009128307,P,01,LU,9462,1987-08-27T00:00:00Z,2017-04-28T00:00:00Z
11641,71061,9462,013789,2650501,AIR METHODS CORP,AIRM,009128307,P,01,LU,9462,1987-08-27T00:00:00Z,2017-04-28T00:00:00Z
11644,48476,9465,034010,7606,COMSTOCK RESOURCES INC,CRK,205768302,P,01,LC,9465,2018-08-14T00:00:00Z,NA
11664,129707,53462,184392,1195777,GREEN DOT CORP,GDOT,39304D102,P,01,LC,53462,2010-07-22T00:00:00Z,NA
11674,87046,20574,003897,9693,DTE ENERGY CO,DTE,233331107,P,01,LC,20574,1962-01-31T00:00:00Z,NA
11691,185,157,001254,1349,MATSON INC,MATX,57686G105,P,01,LU,157,1972-12-14T00:00:00Z,NA
11691,185,157,001254,1830202,MATSON INC,MATX,57686G105,P,01,LU,157,1972-12-14T00:00:00Z,NA
11701,53017,9522,012972,16043,INGLES MARKETS INC  -CL A,IMKTA,457030104,P,01,LU,9522,1987-09-22T00:00:00Z,NA
11707,53018,9526,013839,5587,CAMBREX CORP,CBM,132011107,P,01,LU,9526,1987-09-22T00:00:00Z,2019-12-31T00:00:00Z
11731,56657,9550,014084,1283,ALBANY INTL CORP  -CL A,AIN,012348108,P,01,LU,9550,1987-09-30T00:00:00Z,NA
11752,53148,9558,014561,15553,COHERENT CORP,COHR,19247G107,P,01,LC,9558,1987-10-02T00:00:00Z,NA
11775,53307,9576,013906,17483,JOHNSON OUTDOORS INC  -CL A,JOUT,479167108,P,01,LU,9576,1987-10-09T00:00:00Z,NA
11786,50744,9588,017120,27981,SVB FINANCIAL GROUP,SIVBQ,78486Q101,P,01,LC,9588,1987-10-23T00:00:00Z,2024-11-07T00:00:00Z
11790,192,153,001266,1383,ALICO INC,ALCO,016230104,P,01,LU,153,1972-12-14T00:00:00Z,NA
11809,53573,9616,014027,7045,CLEAN HARBORS INC,CLH,184496107,P,01,LU,9616,1987-11-24T00:00:00Z,NA
11825,54000,9632,014108,8484,CYBEROPTICS CORP,CYBE,232517102,P,01,LU,9632,1987-12-17T00:00:00Z,2022-11-30T00:00:00Z
11844,47393,9645,019262,7423,COMMUNITY TRUST BANCORP INC,CTBI,204149108,P,01,LU,9645,1987-12-29T00:00:00Z,NA
11850,2907,20678,004503,11430,EXXON MOBIL CORP,XOM,30231G102,P,01,LC,20678,1962-01-31T00:00:00Z,NA
11850,2907,20678,004503,11430,EXXON MOBIL CORP,XOM,30231G102,C,00X,LC,20678,1950-01-01T00:00:00Z,1962-01-30T00:00:00Z
11884,54066,9677,014309,16277,INTERPARFUMS INC,IPAR,458334109,P,02,LU,9677,1988-02-04T00:00:00Z,NA
11891,60887,9764,014418,20519,MGM RESORTS INTERNATIONAL,MGM,552953101,P,01,LU,9764,1988-05-02T00:00:00Z,NA
11896,54419,9698,014256,19863,MAXIM INTEGRATED PRODUCTS,MXIM,57772K101,P,01,LC,9698,2008-10-08T00:00:00Z,2021-08-31T00:00:00Z
11896,54419,9698,014256,19863,MAXIM INTEGRATED PRODUCTS,MXIM,57772K101,P,01,LC,9698,1988-02-29T00:00:00Z,2007-10-01T00:00:00Z
11955,55932,9804,014477,33114,WASTE MANAGEMENT INC,WM,94106L109,P,01,LU,9804,1988-06-03T00:00:00Z,NA
