companyid,fyear,revt,roa,eps,pe_ratio,pb_ratio,gross_margin,cogs,asset_turnover,epspx,re,chech,che,ni,roe,invested_capital_2,revt-1,roa-1,revt-2,roa-2,revenue_growth,growth_revt,growth_roa,label_revt,label_roa
2,2022.0,1990.6,0.04920626261524194,2.223729196688424,21.684295044472677,1.6496413919768003,0.1908535578669308,1470.3,1.1545206175741787,2.19,800.8,-1.3,58.9,78.7,0.07607539874335428,1358.6,1817.1,0.050003176821907365,1651.4,0.02325128271741248,0.10033910621291015,0.09548181167794838,-0.015937271535841298,0,0
288,2022.0,48971.0,0.0019624204215340875,-3.0769088259269326,-5.8370270346211734,-1.5849039346049045,0.0640184726591259,27969.0,0.44957648156227903,-3.09,-14580.0,9.0,13421.0,-1993.0,0.2715258855585831,51274.0,29882.0,-0.02998480448944589,17337.0,-0.14328796284350406,0.7235969314183538,0.6388126631416906,-1.0654471641535905,1,1
42430,2022.0,4324.385,0.02128210978944397,5.4789377208285,12.88388435802948,1.3496862500423286,0.3828202327388017,2347.65,0.17287627239319767,5.48,3209.858,-49.999,9.969,618.72,0.10475771223460094,21600.170000000002,3803.835,0.028119518132389883,3586.982,0.0274998712564536,0.06045555846112416,0.13684873292348385,-0.24315524578887232,1,1
21314,2022.0,2597.826,0.06616288258868336,4.3152495526301795,10.453624859889063,3.7474588318065143,0.9487348389795064,137.284,1.65124207574359,3.69,1055.526,133.514,170.159,243.557,0.3584841509078492,1437.8609999999999,2677.92,0.15018057531288517,2484.595,-0.04665615103643226,0.07780946190425413,-0.029909033877038915,-0.5594444724236802,0,0
44,2022.0,43653.0,0.09313791343131196,4.00831707369612,35.1119927421864,6.934721542930564,0.6139988392338944,16627.0,0.5728363210809085,3.97,23154.0,2961.0,10249.0,7071.0,0.19750293279705045,60539.0,43075.0,0.0940342571413373,34608.0,0.061958978882946464,0.2446544151641239,0.013418456181079513,-0.009532097527798801,0,0
72,2022.0,3366.917,0.009076970733472339,2.729735935706085,10.187798620457604,0.7551316823164118,0.024519505195525947,1975.547,5.404824621099912,2.78,143.04,55.252,107.317,11.888,0.07412118264686444,99.16199999999999,2025.204,0.03172646069019997,1022.422,0.003359364185463913,0.9807907106850203,0.6625075794833508,-0.7138990440154538,1,1
105,2022.0,23601.0,0.01953240603728914,2.619718309859155,54.92956989247312,23.167573696145126,0.5004867956675185,8209.0,1.3232949512843224,2.61,-1454.0,940.0,3608.0,3162.0,0.4217687074829932,7405.0,16434.0,0.254609871970368,9763.0,0.2778397679089489,0.683294069445867,0.43610806863818913,-0.9232849618668267,1,1
132,2022.0,12698.6,0.08296742496120268,9.481158281277525,27.012522352436758,4.187831759197028,0.431870580257677,5864.8,0.3843375826532436,9.16,14162.4,-784.1,5800.8,2099.1,0.15503297709698147,20321.600000000002,10323.0,0.07815199261333174,8856.3,0.07496275105786995,0.16561092103926028,0.23012690109464307,0.06161624530414721,1,1
42976,2022.0,9646.0,0.004088537995206542,3.7964830905596236,13.72322719665272,1.7257833727966325,0.13503886010362695,5342.0,0.44269228012328865,3.82,3980.0,-892.0,3116.0,478.0,0.1257563799000263,10635.0,6176.0,0.0342627768618737,3566.0,-0.09426171151929374,0.7319125070106562,0.5618523316062176,-0.8806711431566392,1,1
186,2022.0,205.814,0.041231213012671554,26.02897983160368,10.000391935605206,5.262905748072957,0.39835943108834426,124.027,0.1480985513285176,25.48,214.369,33.628,483.505,132.93,0.5262699484142224,863.7789999999999,206.148,0.09549809082843319,209.979,0.02986814686305762,-0.018244681611018325,-0.0016201951995653762,-0.5682509183691916,0,0
